SERVICE,TRANCHE,CATEGORY,CANONICAL_OBJECTS,CURRENT_IP_COUNT,COVERAGE_STATUS,CAN_SUPPORT_TODAY,LGS_NODES_NEEDED,DATA_GAP,CONTACT,NOTES,,
Active Directory,1,Identity,SVC_AD_DC_CVS | SVC_AD_DC_HCB | SVC_AD_DC_NONPROD_CVS | SVC_AD_DC_NONPROD_HCB | SVC_AD_DC_VIP | SVC_AD_DC_VIP_CVS | SVC_AD_DC_VIP_HCB | SVC_AD_DC,348,COMPLETE,Yes,10 physical DCs (already tracked in supplement),None,David Harris / Elizabeth DeTino-Montgomery,,,
Guardium,2,DB Security,SVC_GUARDIUM_CVS | SVC_GUARDIUM_HCB,406,COMPLETE,Yes,TBD,Need LV COLO IP's,App team TBD,,,
Centrify,1,Identity / IAM,SVC_CENTRIFY_CVS,104,ESTATE_ONLY,Partial,12,Need LV COLO IP's,Joseph Stein,Connector ports 8080/8443 not yet in CPC PORTS field,,
SCCM / SCCManager,1,Endpoint Mgmt,SVC_SCCM_HCB,116,ESTATE_ONLY,Need Verfied List of IP,2,Need LV COLO IP's,Atemnkeng Atabong,CVS SCCM may be MECM separate tracking needed,,
Red Hat Satellite,1,Patch Mgmt,SVC_SATELLITE_CVS | SVC_SATELLITE_HCB,9,PARTIAL,Need Verfied List of IP,3,Need LV COLO IP's,Haris Aleem / Scott Jones,Greenfield deployment at LGS; capsule server IPs needed post-provisioning,,
Venafi,1,Cert Mgmt,SVC_VENAFI_CVS | SVC_VENAFI_HCB,19,ESTATE_ONLY,Need Verfied List of IP,2,2 new LGS TPP node IPs,Santhosh Srinivasa,,,
BeyondTrust Password Safe,1,PAM,SVC_BEYONDTRUST_CVS,6,PARTIAL,Need Verfied List of IP,2,2 new LGS worker node IPs,App owner TBD,,,
Qualys,2,Vuln Mgmt,SVC_QUALYS_CVS | SVC_QUALYS_HCB,114,ESTATE_ONLY,Need Verfied List of IP,2,Need LV COLO IP's,Ray Kendrick / Ryan Gerrick,Scanning destination ports TBD per doc,,
Apache NiFi,2,Data Pipeline,SVC_NIFI_CVS | SVC_NIFI_HCB,2,PARTIAL,Need Verfied List of IP,TBD,Need LV COLO IP's,Saurabh Borhha / Noe Detore,Existing estate very thin (1 CVS + 1 HCB); ports not documented in LGS doc,,
SCOM,2,Monitoring,SVC_SCOM_HCB,149,ESTATE_ONLY,Need Verfied List of IP,1,Need LV COLO IP's,Kristin Foster,SCOM gateway→Management Server flow targets MDC/WDC (External DCs zone),,
Splunk,2,SIEM,SVC_SPLUNK_CVS,16,ESTATE_ONLY,Need Verfied List of IP,15,Need LV COLO IP's,Thomas Payne,Port 9997 (UF→Cloud Indexer) not yet in CPC; 9998/8089 partial,,
Tidal,2,Job Scheduler,SVC_TIDAL_HCB,120,ESTATE_ONLY,Need Verfied List of IP,TBD,Need LV COLO IP's,App team TBD,No CVS-heritage Tidal in EHM; TCP 5591/5912 ports not in CPC,,
BigID,2,Data Discovery,SVC_BIGID_HCB,1,PARTIAL,Need Verfied List of IP,TBD,Need LV COLO IP's,BigID app team,New platform; DB scan destination ports vary by data source,,
MECM (LGS),1,Endpoint Mgmt,None,0,NO_DATA,Need Verfied List of IP,2,Need LV COLO IP's,Atemnkeng Atabong,MECM supersedes SCCM for CVS-heritage endpoints; separate from SVC_SCCM_HCB,,
BeyondTrust PRA,1,PAM / Remote Access,None,0,NO_DATA,Need Verfied List of IP,TBD,Need LV COLO IP's,BeyondTrust PRA app owner,Distinct from BeyondTrust Password Safe (SVC_BEYONDTRUST_CVS),,
JFrog,2,DevOps / Artifact,None,0,NO_DATA,Need Verfied List of IP,TBD,Need LV COLO IP's,DevOps / JFrog team,Caching server on-prem; SaaS flows to *.jfrog.com covered by URL policy,,
Zscaler ZPA Connectors,2,Network / ZPA,None,0,NO_DATA,Need Verfied List of IP,TBD,Need LV COLO IP's,Network / Zscaler team,,,
Tivoli Workload Scheduler,2,Job Scheduler,None,0,NO_DATA,Need Verfied List of IP,TBD,Need LV COLO IP's,TWS app team,No detail in LGS doc yet; IBM Tivoli Monitoring (SVC_ITM_HCB) is a separate product,,
Crowdstrike,1,EDR,N/A,0,SAAS_ONLY,Have a full external IP Set,YES,NA,John Garness,,,
Tanium,1,Endpoint Visibility,N/A,0,SAAS_ONLY,Need Verfied List of Public  IP's,TBD,Need Full Set of IP's,Richard Ares,,,
